products_id,products_and_services,clustered_id
a533e93632494c68772b7126cc79bec1f738107a,thermal insulation materials,06ee6fe038f5d434f0cb25788cbd2d4508c05f2d
f0da8bbc7c6d0dc555e4f639fac275c6c7678ddd,heating and air conditioning - works,1a14ae208356c0e4fccdabc9684b33278de81bd4
0cc4b9e822557f2b2db7ed368463311dcbf12a1a,packaging recycling,0cc4b9e822557f2b2db7ed368463311dcbf12a1a
a69f8cd0f12d0e57621e67ed07b2211637c6f29a,polishing - steels and metals,d4bc0892636023d7dbe61a61ec1918fc4950371e
3b6981a547bb93868537c6617943ee3bd11cac4c,"lifts and platform elevators, car",d9090bfdcd31d9759af346596ac070f8f18604e5
ef82e63fe0efa67b4ef0c02eac5335ecb919e2be,"cardboard, special and technical grades",4c11c234308d429a427484510cd64f052cb2f098
28dcb002f29b6b65bf4a5eb464c343435a654c64,packaging materials - paper and cardboard,81f8fcb8d355e63dbe0e781eefafc7eaf7dafa77
48971283676f94e2738004372690db3cd362a955,"boxes, cardboard",822a3117422c792787cdcbc752dd1a4729d99df3
3278b0a167b1cc2d88bcc25f8d3e3227571fb84d,road transport - logistical services,3278b0a167b1cc2d88bcc25f8d3e3227571fb84d
ad02889db6657e3937b2978af420f9c262758d9a,international couriers and delivery services,92ab4d0f8c8220ca0b1805e68c350448701683e2
d36a77aa6164fd79cd292ef0d24edfea94b6f518,warehouses and bonded warehouses,10e77df0cdbefe14c70a3dac4786c77e37ca2a47
ed524f92f4c9ca81689a1ad9f35b05ab74313e03,warehouses - cold storage,7eb25fa08c1c0c278a172f18ef261209f233978f
323033e0d6312ff2ab9fa73d863da2353c971d44,motorcycle parts and accessories,94d3537ec8f9fa648b258d97828fe2b1fc3a0017
caa50b890ac5511870846088759274864dd4af2f,wood - sawn and treated,dad7d1d7a10b0d0458cd6321e36ea6ef95b01b2b
2898f619f3dee9408423bd246b0edb5337826f5b,tobacco and smokers items,7e5f2a85fb4afa9d6438bf24665bbcac04b28171
323c1266944c347927f7f8e3719039d33176770d,hookahs,323c1266944c347927f7f8e3719039d33176770d
cf914aa7a0739404346fb15d684263cb71479efb,shellfish and crustaceans,140ae6d7fbd60682bf67a2bfc46607cada04d58f
64875fcccaac069fcb3e0e201e7d5b9166641608,fish,64875fcccaac069fcb3e0e201e7d5b9166641608
d2f5f756193404dd0a2487078a7d8ddbcb96daf6,dried fruits,884a6ffd957d985072bbeffc1f6c5b5acdba2a83
1c160ab4cd2e831f4a45b1abf20439088aa61f01,coffee and tea,75490f32c06a50051804339453d3fe2f0cd5564b
75490f32c06a50051804339453d3fe2f0cd5564b,tea,75490f32c06a50051804339453d3fe2f0cd5564b
a7527c0bbcfff320859b612dd95e1809bb6322c0,"condiments, extracts and spices",e4f23495a1103e1db75e91fdc67ed60c38948b5a
22fe7eb510e027f0e4712ede37cb8bc06a07feed,signs and signalling panels and boards,9ea5e97d2f481d5427902c67e55a54ec377e4761
a0c406ef3b36250958b163b6938db5620d9fc122,"houseware, metal",c0c84b9eb31f3bb79a10a65fb76a8bf8fd9aaa28
b315bbe2bef639c59793656e79dac2502991b56c,machine tools - metal machining,9741d16f3a3c82997bd2e73982bb92fe05c7a048
721a7aadcaaa2a1fce51ac76229b01e8cc1fea01,"wood, undressed",721a7aadcaaa2a1fce51ac76229b01e8cc1fea01
20add46fd4fc5e57d9932a477efb009467c8a7b7,"clothes, women's",20add46fd4fc5e57d9932a477efb009467c8a7b7
1bcb656e194a10fd5ac1461b18ec894bfe112917,"oils and fats, edible",d7e2370aff20fc112932cbcfeac873d2472bbbd6
30eef85dfdd3282c8738940920a705d71a465306,sugar,30eef85dfdd3282c8738940920a705d71a465306
5d4420e2fb21eabeba5ec3d4b261e99f6e03a700,electric and electronic components - machines for manufacturing,3a38c14a78a69a8900feb8bec741897c2aedd512
4a81f17e7a69da622733f7d0fa52e739ef6a2f3c,signalling - systems and installations,b08c6f9c686d2fdcb61cacbc1846b3bc9da16d11
f16a89af603818757c39de86c648021b0ecbda23,radar and radio navigation equipment,25855833ce1a18aad475869e1c8bb3755774235b
f9317350798c02d6040aa575955e3b5b2ad60cac,electricity - distribution equipment,331b249bcb659c493f8391fb2d01be6b613c2656
13ca6eef8e9f0aecee76b7a05cdcd3f6bf91c863,"televisions, videos and radios",60085763fb0f60ed801f0f4c405570d369a93e53
ce6ebfc5202e57124ee4ba8af344bf2e850d46d9,hi-fi and stereo systems,3f885d4949a52307ef8dd912e8b5b4f953465652
1fb4f63ef9ec3eb65fb83226e06cf94557106b6d,public address and sound systems,3d1c86ef4149fec7e01027c330c406d732f73bce
91dcf8deddd30dc5b5b512e015fdb1d64c182853,"water treatment, industrial - systems and equipment",b83ddaabcb6adac47ee8ccffd29c53d33519c5cc
b51cda7f74009178eacd6040ba5808df2b1410da,gardening and horticulture - equipment and supplies,17ece5d0eb98c65c17de057efad46cdbea580688
bc5f25b2ec6a7938497bb8ceb978c86d423b76e8,feeds for animal farming,bc5f25b2ec6a7938497bb8ceb978c86d423b76e8
f16b09dbc75e683642115f2cb4d3432368510e9f,"foods, precooked and gourmet",be474700eb7b7805f7267d19c7318aca0a24dd75
e4cf7381ee78201ae67320fbc11f731184e30541,potatoes - instant preparations and mixes,f7a5c169322bfbde1225f449d48ed0b8af43fa75
f879f36238840ab4de91a4821d24517e37729b4e,"bicycles, accessories and parts",09a528497548f39593636a14930240316b952939
27ba199ad8c6776d1cb6af71a58b966a13906a21,bicycles,a3e3318b0a3061f0557eebf61e84ab99723aa21b
493a02b8690f1befab9d6308736fc9563e4c90a0,bicycle accessories,493a02b8690f1befab9d6308736fc9563e4c90a0
18d623812def6b82930a4e56b799a22d650a24d3,"clothes, men's",18d623812def6b82930a4e56b799a22d650a24d3
9ad5321ce9aa34557ff8e9ff871b79db0ce49717,dairy products,9ad5321ce9aa34557ff8e9ff871b79db0ce49717
acb528300eeaed4754de62290cd90abce083f815,frozen and deep-frozen foods,03c4b2e4f15715d97021509c2cd592632afe41ab
9d4d9a45b5ec3d4667ded5833cde68598ad76872,"paper, graphic arts",9d4d9a45b5ec3d4667ded5833cde68598ad76872
fced1e1e1be122006a25443d3cf63e0673a56dd7,concrete products and conglomerates,ea294839317c13b74d5d0ecc820cb2b384026e29
0c6611639dbc4cabc5a31478deb10e40056e9cc5,"sewer pipes, concrete",97b6cd9359cd88c2f335153fa62ec02de5907f7c
a49865e7fd1d477ce3fd539cc2248bbc543a0b5b,scenography equipment,a49865e7fd1d477ce3fd539cc2248bbc543a0b5b
4db41f7c75700f46da49406bc9ccb9a95e0a3a9b,performing arts - organisation,4db41f7c75700f46da49406bc9ccb9a95e0a3a9b
e4c18aa2d584464d205abe1cc412206aa817bb66,ceramics - tiling,7e499eb6d3b1407dd0f496741f0cd2848bbc7a06
7954d96ddff4a1494a96d661d74710d0bba87db7,optical lenses,7954d96ddff4a1494a96d661d74710d0bba87db7
d97110863d25f2652b7cc5f6fd85aaf16300c753,earthenware,d97110863d25f2652b7cc5f6fd85aaf16300c753
1f7ffbde9e9793b576c01f6c7eb4aece3f90e526,"filters, liquid",5d09eb07bdc9a6137b8ac50a570f53a02a8c2771
d110087d3d2772b7fe590028153f447c8ee71285,coffee filter papers,d110087d3d2772b7fe590028153f447c8ee71285
470bb42c81851fb068b04ba06bb7c47cb6e26576,electric coffee grinders,470bb42c81851fb068b04ba06bb7c47cb6e26576
64ad2721ed42006a1511f8d7ae1a043de1cc7ef9,tea cups,64ad2721ed42006a1511f8d7ae1a043de1cc7ef9
b36744bd2d0dcf77f385e39ad6c766a9caebe9f9,water filters,b36744bd2d0dcf77f385e39ad6c766a9caebe9f9
