products_id,products_and_services
89014797e9c2f1287974dad5c5fafb40d02c9ff3,drilling - machine tools
b9c630c5c24dfc9c91e072b038ce2eae73db1e7c,mechanical engineering - custom work
dd05af61ce5fd2d249bc057e1f36876b11e15f45,fossil fuel power stations
19ccdd0ff0bb7c89b9ae753ed5d005b61f01726c,electricity - distribution
de2327ce9be81e6cad9e75326e1bc139b876ace8,sauces
95b81dc925a7b08d2632c03c064c9022697d3403,"machine tools, metal machining - parts and accessories"
084d6ffa8b0d2ae691eb611764537fe348146663,"machine tools, cutting - parts and accessories"
cfe3ae20443e5fe64c4a7924b1417b817d72f6b8,cutting - machine tools
9cd2aa691bcfc782a53691db4bc1f30e57fb5705,metal stamping
32e77681d8e93711fdcf3c17a8f18ab351b24bf7,non-ferrous metal cutting
d410d7caef5697c66b04dfff48b42c7011b3cd27,sharpening - machine tools
de7f6cb540ba869637a78948b7fc0dd14405a7f8,milling cutter sharpening
71c81d4eb500d34c9581c69a0e78d347bacae063,woodworking hand tools sharpened
0574b26fa14b9162e664decb9dfb3f5c323245c0,blades for sawing machines
2142771f3fe95d02c8a5f32c55b7684291c0776d,airport transfer
8ea3a60d3c51a7b8b8361c7d4ecf7a12fbcb6682,transfer in spain
15f6e9b5a2c86518d6989cb8883bfefddbc0c984,import-export - vehicles and transport equipment
2609d27007a4e1b65ba841d088a21289e6fa2813,advertising management
d9717821469595bc29c5486f7bc3de8b806c3ea2,on-line services - advertising management
bae0797e6f940c9e71ecc91fefbd16a14b47a06d,management advice
ffd7914e5b060417b7275da80592c2a11166fa80,advertising design - graphic artists and designers
11bea4262e4e324187c9d97ae737d19398d39a09,"jeweller's, watchmaker's, gold- and silversmith's machinery and equipment"
02fa4385f82c72eb8d8dc7cf31297c99f1e20bdd,road transport - passengers
6200b51943fbcb65ad73bedfcdaffe19cb025e4a,bicycle hire
aa78126199f56652c71abbc9c193639a7885d818,paper and cardboard manufacturing - machinery and equipment
cea707fc01b048ee7c413d06bd346699dc99c049,software - business management
91bf3ab764e2d81dd3442a88c35a9994dc8e2d14,outsourcing of financial services and administration
b94d4b09478e7933befe0b84a4422c5638013370,database acquisition and security
efd7fd7f2954713c1ee7facf9750fe53e8cf589c,translation
04a0b080fb9b28971e351f4ace165559c725ce65,pleasure craft furnishings
2a0709c2f53d832ca3be73adf51f24debb79102a,camping equipment
828661ca7baaef48b21346e6d2f7b1e2079b295f,boat accessories
5651f4662feeae5920c5a89cc00128cc955e2c0f,aquatic sports gear
c9e73f6b18d531f1a74e0e7fff3d3e50289e06b0,detergents for motor vehicles
b48fe8e3c19d873e5418a9f17352dadf256c2a26,labels - stationery
749487be4662229fc2ee153b71dd6e517d7806d2,metal curtains
78d476ba753a02f93487ecf562f5e7792a65a23d,roller shutters
491a88ab8ac9013393e699fc1b4e47182fd45faa,vehicle rental
90ab353512b323d6f637ed14b9aba50c02abc63c,"cleaning and maintenance products, industrial"
e7e312c4fab3f81a9a467e200cc9edb4ed5189e5,"cleaning and maintenance products, household"
1ad9ff127436083660344aafd7920d75a78946d2,hygiene and toilet products
19ad3fd1683e0c2d59eb2fd8534544024b7c8f3d,precision mechanics
da35ea3449d6e8aa1c4025cf9541af7432a2b458,bulk materials for construction
385d3018418a20d233d6d56de07b309921173e69,plastics - packaging
96737e41e2f57a3142f10aafef91be3739d4a640,erection and dismantling of industrial plants
0f298545bc0a84711c81fec1fda8b32293ff4f21,liquid flow metering instruments
715619d3765f1598e238a4985c247a5a4ef19b98,industrial metrology
935c3c2666553957582d776741813a864e4225f5,ultrasound sensors
57cb926f506478eafd2756f50d7f86fbfbddcd02,"humidity, gravity, ph, conductivity and viscosity measuring instruments"
bbd2f28b6317e746fae866f439b2e290c02f0f55,electricity supply stations
87bf40ba8c93a6ef5fb781f7385ac9e556dd12f9,electricity generators
66361f42f1cc9f4eaadf4b5fb8fb10a25a5e44fd,office machines and equipment
e53081e976487fca109c551c22ff2a4c437313bd,document reproduction machines
7c54d4ae97cf5015b505ac71cb1033ec34c4a170,paper manufacture
5ad76f0d9d0171ab8b324c39f2d45d159eafbef3,cardboard manufacture
587b24d88f70d052d1aa7cc3a239c29d6810dc43,express delivery services
afae8055814c4bda8a9b26f5824015facd1955a1,goods transport
be5f3bf492f724f719f79a23637bf11e82f3e97a,plastics - industrial machinery and equipment
64e3c6a8c2790694e6d47ee85498ed20ddc0d893,"extrusion, plastics - machinery"
c68d56ce81e8db1e05d1e98137a496d408ef6a6f,coaching and career support organisation
c5d70a5ab943a434d0d90aaca7670a04cb0dc996,porterage services
15da123528cbf9c9f4d56850765f07aae9624400,wood - packaging
1970e3f67547538338df8018eb49d426cb297fe9,"boxes and crates, wood"
b3578684ae7aa45ea0bbce22ccc12036f9baabc5,pallets
ef7d96d1d5e6ec3215c1a7167639f9617578fb88,"panels, wood"
3508ecac8a8b4019dee63ad21562d82024a29f00,removals and relocation - international
2cc9e15778b4a90279d57e5b5d65ee3718474cce,corporate removals
667899ab8864da446a9a4bd15baeb900a43f3a93,reprographics - machinery and equipment
03b6e26b2ecb780bc10eb54ba826fafc7d964693,consultants - construction and civil engineering
62b7b77027aeb6ae609cccbe13a2ffaf2b60fb9f,rolling scaffolding
f2ed6f2f58652b97f86d58bf382cd573f9cdf1ea,steel scaffolding
