,products_and_services,products_id,language (ISO-code),typo_corrected
133,carousel dispensers,e6b69a44-e4b2-4bc8-b65a-455f93edb4f1,ca,carousel dispensers
134,transparent food dispensers,621fead9-8bc6-4f8d-a271-88bd02ecd464,no,transparent food dispensers
135,customized furniture,53da33ba-30fa-444d-b226-ff6e083d91ec,ro,customized furniture
136,teak garden furniture manufacturer,e6499c06-e6a7-46f7-9ace-75cdc2e05fce,ro,teak garden furniture manufacturer
137,mineral make-up,7a35ef48-3155-4aa8-8556-075e748701be,et,mineral make-up
138,setting powder,3abbffa9-e937-4eb2-bb4d-770eb2e4ce5b,no,setting powder
139,men's perfumes,b3dee855-40d7-4753-9519-145f21d54a2d,da,men's perfumes
140,deodorants,85fe6d7d-c0fe-44a3-90b8-8e9951bad162,ca,deodorants
141,cosmetic products,cc876bb6-98c7-417f-810b-4ee4c9a662dc,ca,cosmetic products
142,private label cake decorations,07147669-657a-444f-b1aa-c0120cd1b405,it,private label cake decorations
143,chocolate colorings,fbe3f2b3-fdf8-4a27-90fc-68044a8ccb89,it,chocolate colorings
144,sugar fondant paste,4d8b0d26-5e6b-4c89-8d5c-bd31d37e2767,fr,sugar fondant paste
145,fondant icing,693a5c90-6e48-44ff-898c-0996486933bf,fr,fondant icing
146,glamour glaze sparkled gel,551ab020-9846-4756-8e51-1d9e58b34207,sl,glamour glaze sparkled gel
147,wholesale liquors,9a8c23cc-75f4-4ea5-87cc-b20239f46d7c,fr,wholesale liquors
148,large aluminium castings,b428ca50-403c-49c8-a145-224879206aa4,ro,large aluminium castings
149,aluminium sandcasting,ecefecb8-00d6-4269-86d5-bda4d0583846,et,aluminium sandcasting
150,aluminium gravity diecasting,c0bfbc21-434b-42c6-9662-4b29e75aecf9,ro,aluminium gravity diecasting
151,turbine rotor stator,c4182606-38ab-4870-9827-34f8551c0733,it,turbine rotor stator
152,pump parts,046e1142-b250-47a7-8ab0-38280ef77630,lv,pump parts
153,supplier nickel alloys,045625bb-4b0d-4aba-a614-436b0c8d1063,it,supplier nickel alloys
154,nickel super alloys,51ba13ab-cfa3-48c9-a60c-6de3d3783465,it,nickel super alloys
155,machine voor het tweezijdig slijpen,c6b24f4e-859f-4b72-810d-8f40b443652f,nl,machine voor het tweezijdig slijpen
156,unsorted,88da2f47-b882-41e6-a868-8e9be0c6b7c4,no,unsorted
